sourceOccurrenceId	sourceTaxonId	sourceTaxonName	sourceBodyPartId	sourceBodyPartName	sourceLifeStageId	sourceLifeStageName	interactionTypeId	interactionTypeName	targetOccurrenceId	targetTaxonId	targetTaxonName	targetBodyPartId	targetBodyPartName	targetLifeStageId	targetLifeStageName	localityId	localityName	decimalLatitude	decimalLongitude	observationDateTime	referenceDoi	referenceUrl	referenceCitation
		Eukaryota;Fungi;Basidiomycota;Agaricomycetes;Agaricales;Pleurotaceae;Hohenbuehelia					RO:0008506	ecologically co-occurs with			Eukaryota;Fungi;Ascomycota;Leotiomycetes;Helotiales;Hyaloscyphaceae;Hyaloscypha						Klamath Mountains					https://www.ucedna.com	
		Eukaryota;Fungi;Basidiomycota;Agaricomycetes;Agaricales;Pleurotaceae;Hohenbuehelia					RO:0008506	ecologically co-occurs with			Eukaryota;Fungi;Basidiomycota;Agaricomycetes;Agaricales;Omphalotaceae;Gymnopus						Klamath Mountains					https://www.ucedna.com	
		Eukaryota;Fungi;Basidiomycota;Agaricomycetes;Agaricales;Pleurotaceae;Hohenbuehelia					RO:0008506	ecologically co-occurs with			Eukaryota;Chromista;Bigyra;NA;Bicosoecida;NA;Filos						Klamath Mountains					https://www.ucedna.com	
		Eukaryota;Fungi;Basidiomycota;Agaricomycetes;Agaricales;Pleurotaceae;Hohenbuehelia					RO:0008506	ecologically co-occurs with			Eukaryota;Fungi;Ascomycota;Dothideomycetes;Capnodiales;Teratosphaeriaceae;Austroafricana						Klamath Mountains					https://www.ucedna.com	
		Eukaryota;Fungi;Basidiomycota;Agaricomycetes;Agaricales;Pleurotaceae;Hohenbuehelia					RO:0008506	ecologically co-occurs with			Eukaryota;Fungi;Ascomycota;Leotiomycetes;Helotiales;Helotiaceae;Durella						Klamath Mountains					https://www.ucedna.com	
		Eukaryota;Fungi;Basidiomycota;Agaricomycetes;Agaricales;Pleurotaceae;Hohenbuehelia					RO:0008506	ecologically co-occurs with			Eukaryota;Fungi;Ascomycota;Dothideomycetes;Capnodiales;Teratosphaeriaceae;Capnobotryella						Klamath Mountains					https://www.ucedna.com	
		Eukaryota;Fungi;Basidiomycota;Agaricomycetes;Agaricales;Tricholomataceae;Tricholoma					RO:0008506	ecologically co-occurs with			Eukaryota;Fungi;Ascomycota;Orbiliomycetes;Orbiliales;Orbiliaceae;Hyalorbilia						Klamath Mountains					https://www.ucedna.com	
		Eukaryota;Fungi;Basidiomycota;Agaricomycetes;Agaricales;Tricholomataceae;Tricholoma					RO:0008506	ecologically co-occurs with			Eukaryota;Fungi;Zoopagomycota;Entomophthoromycetes;Entomophthorales;Ancylistaceae;Conidiobolus						Klamath Mountains					https://www.ucedna.com	
		Eukaryota;Fungi;Basidiomycota;Agaricomycetes;Agaricales;Tricholomataceae;Tricholoma					RO:0008506	ecologically co-occurs with			Prokaryota;Bacteria;Bacteroidetes;Cytophagia;Cytophagales;Cytophagaceae;Flexibacter						Klamath Mountains					https://www.ucedna.com	
		Eukaryota;Fungi;Basidiomycota;Agaricomycetes;Agaricales;Tricholomataceae;Tricholoma					RO:0008506	ecologically co-occurs with			Prokaryota;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Rhodopila						Klamath Mountains					https://www.ucedna.com	
